X,Y,Location_notes,Encounter_type,Date_of_observation,Comments,Review_status
-79.69625663,43.40308441,Water's Edge drive,Encounter,10/26/2014,,Complete
-79.73952666,43.44494918,Sandpiper and Deer Park,Encounter,10/27/2014,,Complete
-79.67949978,43.44643076,Queen Mary Dr,Encounter,10/30/2014,,Complete
-79.69853391,43.40114624,2016 Water's Edge Dr,Encounter,11/1/2014,,Complete
-79.76958587,43.42272916,Colonel William's Pkwy at Richview,Encounter,11/3/2014,,Complete
-79.71045184,43.40895915,Vickery Dr,Encounter,11/5/2014,,Complete
-79.70589946,43.40597158,Hixon and Sable,Encounter,11/5/2014,,Complete
-79.70820041,43.40733123,Sabe and Snowden,Encounter,11/5/2014,,Complete
-79.70513521,43.40379777,Solingate and Ulster,Encounter,10/22/2014,,Complete
-79.71786993,43.41458832,Saxon Rd,Encounter,11/5/2014,,Complete
-79.71666275,43.41566332,Saxon Rd,Encounter,11/5/2014,,Complete
-79.73423503,43.4528569,Sixteen Hollow Park,Encounter,11/5/2014,,Complete
-79.69650864,43.41363979,Hixon St east of Woodhaven,Encounter,11/6/2014,,Complete
-79.70159161,43.41826649,Sandhurst Ave at Second,Encounter,11/7/2014,,Complete
-79.69837798,43.41094252,Westminster and Viewbank,Encounter,11/4/2014,,Complete
-79.70934976,43.41968453,Selkirk Ave,Encounter,11/8/2014,,Complete
-79.68128979,43.43677206,Dorval and Rebecca,Encounter,11/8/2014,,Complete
-79.74441769,43.46208852,Riverbank way,Encounter,11/9/2014,,Complete
-79.72210572,43.44031157,Nottinghill Gate,Encounter,11/8/2014,,Complete
-79.72800365,43.38613213,Nautical Park,Encounter,11/7/2014,,Complete
-79.73990555,43.44757344,Glen Oak Trail behind Chatsworth,Encounter,11/9/2014,,Complete
-79.73625802,43.44431597,Glen oak Trail behind Frontier Dr,Encounter,11/2/2014,,Complete
-79.70856528,43.39990356,East St,Encounter,11/7/2014,,Complete
-79.700678,43.40113377,Marine Dr and Sarah Lane,Encounter,11/10/2014,,Complete
-79.69570855,43.41426642,Sedgewick Forest,Encounter,11/11/2014,,Complete
-79.69829037,43.41068137,Westminster and Viewbank,Encounter,11/11/2014,,Complete
-79.69612323,43.40911076,Warland and Westminster,Encounter,11/12/2014,,Complete
-79.72132187,43.38209126,Shell park - old soccer fields,Encounter,11/9/2014,,Complete
-79.75472793,43.4267139,UPM and Grand Oak,Encounter,10/31/2014,,Complete
-79.69778872,43.42450115,Willis Dr and Sarta Rd,Encounter,11/12/2014,,Complete
-79.7213016,43.38305591,Shell Park,Encounter,11/14/2014,,Complete
-79.72807633,43.43549781,Pilgrim Wood PS,Encounter,11/14/2014,,Complete
-79.71259942,43.40173148,Vance Dr,Encounter,11/13/2014,,Complete
-79.72662685,43.42742827,Third Line N or N Service Rd,Encounter,11/16/2014,,Complete
-79.69002138,43.49404651,Bayshire Woods Park,Encounter,11/15/2014,,Complete
-79.70716265,43.39657336,Marine Dr and Nelson,Encounter,11/16/2014,,Complete
-79.71988596,43.46056508,Neyagawa and UMR,Encounter,11/15/2014,,Complete
-79.69732883,43.41182818,Viewbank Cres,Encounter,11/16/2014,,Complete
-79.70325481,43.40159302,2127 Lakeshore Rd W,Encounter,11/18/2014,,Complete
-79.70437927,43.40249471,Salmon Rd,Encounter,11/18/2014,,Complete
-79.71601157,43.41437759,Seabrook Park,Encounter,10/13/2014,,Complete
-79.70677561,43.40549581,St Anne's CS,Encounter,11/19/2014,,Complete
-79.7236212,43.4901236,3070 Trafalgar Rd,Encounter,11/21/2014,,Complete
-79.72151731,43.37429454,3500 Lakeshore Rd W,Encounter,11/13/2014,,Complete
-79.67457721,43.43546951,22 Brookfield Rd,Encounter,2/1/2015,,Complete
-79.65880644,43.46277986,Colbourne Park behind Botany Hill,Encounter,2/2/2015,,Complete
-79.67821958,43.43286835,Holyrood Ave.,Encounter,2/4/2015,,Complete
-79.71866104,43.4383514,1148 Rushbrooke Dr,Encounter,2/5/2015,,Complete
-79.72315461,43.43119276,behind Fieldcrest Lane,Encounter,2/5/2015,,Complete
-79.69499934,43.41091976,118 Selgrove Cr,Encounter,2/6/2015,,Complete
-79.74298825,43.44808111,Proudfoot and West Oak Trails,Encounter,2/9/2015,,Complete
-79.67701192,43.4372748,91 Brookfield Rd,Encounter,2/8/2015,,Complete
-79.67621356,43.48408526,Edgeware Park,Encounter,2/7/2015,,Complete
-79.7382688,43.43445895,Third Line and Glen Abbey Gate,Encounter,2/9/2015,,Complete
-79.74652903,43.43489535,Post Master and Upper Middle Road,Encounter,2/12/2015,,Complete
-79.68540666,43.42696942,Appleby College,Encounter,2/12/2015,,Complete
-79.72304573,43.43340121,Pilgrims Way,Encounter,2/13/2015,,Complete
-79.7464024,43.43517859,Postmaster Dr and Upper Middle Road W,Encounter,2/12/2015,,Complete
-79.72563551,43.44047664,Bonnybank Crt,Encounter,2/13/2015,,Complete
-79.72755182,43.43504582,Pilgrim Wood School,Encounter,2/15/2015,,Complete
-79.7470082,43.44591444,Kingsmill Cr,Encounter,2/17/2015,,Complete
-79.73876701,43.44369801,Brookstar Dr and Taplow Creek Trail,Encounter,2/18/2015,,Complete
-79.68565541,43.42044826,Wilder Park,Encounter,2/21/2015,,Complete
-79.69953908,43.41168958,Woodhaven Park,Encounter,2/21/2015,,Complete
-79.67761048,43.48055074,1242 Lakeview Road,Encounter,2/22/2015,,Complete
-79.74160733,43.4251787,2321 Carpenters Circle,Encounter,2/22/2015,,Complete
-79.72595996,43.42403566,Third Line and the QEW,Encounter,2/19/2015,,Complete
-79.79163727,43.45304859,238 Burnhamthorpe Rd W,Encounter,2/26/2015,,Complete
-79.74840668,43.44629516,Pine Cliff Road (trail behind),Encounter,2/26/2015,,Complete
-79.74656157,43.44978164,Proudfoot and Westoak Trails,Encounter,2/28/2015,,Complete
-79.69052992,43.49673756,Bayshire and Rockingham Dr,Encounter,3/2/2015,,Complete
-79.62805494,43.48207445,Joshua Creek Trail,Encounter,3/2/2015,,Complete
-79.69579771,43.48675509,2101 Grosvenor St,Encounter,3/8/2015,,Complete
-79.73166311,43.43884413,Merrybrook Lane,Encounter,3/8/2015,,Complete
-79.73177245,43.43827626,1372 Merrybrook Lane,Encounter,3/8/2015,,Complete
-79.68295123,43.48425861,Falgarwood Dr and Grand Blvd,Encounter,3/8/2015,,Complete
-79.74265352,43.43954866,Third Line and Upper Middle,Encounter,5/13/2015,,Complete
-79.71452826,43.3822514,Shelborne Creek and the Lake,Encounter,3/14/2015,,Complete
-79.6801462,43.49558436,Ninth Line and Upper Middle Road,Encounter,3/11/2015,,Complete
-79.70436358,43.41055203,260 Tracina Drive,Encounter,3/15/2015,,Complete
-79.67708541,43.48029386,1242 Lakeview Dr,Encounter,3/13/2015,,Complete
-79.70922088,43.42237329,1340 Warwick,Encounter,3/18/2015,,Complete
-79.69505204,43.42586821,389 Maplehurst Ave,Encounter,3/21/2015,,Complete
-79.68813012,43.41602384,Wolfdale Ave,Encounter,3/23/2015,,Complete
-79.68841463,43.41621806,Wolfdale Ave,Encounter,2/8/2015,,Complete
-79.67798168,43.43261806,32 Holyrood Ave,Encounter,3/24/2015,,Complete
-79.64335731,43.46882379,Maple Grove Dr and Lakeshore,Encounter,3/29/2015,,Complete
-79.72579688,43.47301087,Holy Trinity SS,Encounter,3/24/2015,,Complete
-79.68827403,43.41611104,Wolfdale Ave,Encounter,3/29/2015,,Complete
-79.7217822,43.43427117,Pilgrims Way,Encounter,4/3/2015,,Complete
-79.70884342,43.45075665,Dorval Dr,Encounter,4/4/2015,,Complete
