"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-07","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-08","60","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-09","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-10","59","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-11","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-12","69","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-13","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-14","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-15","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-16","60","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-17","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-18","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-19","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-20","57","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-21","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-22","57","61","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-23","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-24","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-25","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-26","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-27","60","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-28","65","84","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-29","64","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-30","58","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-31","58","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-01","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-02","65","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-03","64","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-04","61","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-05","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-06","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-07","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-08","61","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-09","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-10","60","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-11","61","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-12","64","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-13","64","76","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-14","62","77","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-15","62","66","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-16","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-17","62","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-18","65","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-19","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-20","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-21","60","69","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-22","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-23","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-24","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-25","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-26","65",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-27","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-28","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-29","66",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-30","71",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-01","69",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-02","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-03","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-04","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-05","67",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-06","72",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-07","74",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-08","68",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-09","64",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-10","70",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-11","70",,
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-12","63","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-13","65","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-14","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-15","60","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-16","61","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-17","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-18","61","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-19","62","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-20","63","83","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-21","66","75","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-22","64","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-23","62","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-24","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-25","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-26","59","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-27","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-28","58","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-29","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-30","58","66","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-07-31","58","65","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-01","58","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-02","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-03","61","72","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-04","62","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-05","61","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-06","60","73","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-07","58","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-08","59","70","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-09","60","79","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-10","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-11","64","74","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-12","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-13","60","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-14","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-15","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-16","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-17","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-18","60","71","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-19","59","68","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-08-20","60","72","55"
